Time,Temperature,Crime
1080,28.040001,1113
1081,30.92,1177
1082,30.02,1187
1083,46.939999,1101
1084,46.939999,1133
1085,37.040001,1113
1086,26.059999,949
1087,35.959999,713
1088,44.060001,1015
1089,48.919998,1153
1090,48.919998,1144
1091,46.939999,1156
1092,42.080002,1145
1093,48.919998,1656
1094,60.98,1293
1095,51.98,1170
1096,33.080002,858
1097,30.02,918
1098,8.96,909
1099,24.08,1012
1100,28.940001,1127
1101,26.959999,1213
1102,26.959999,1151
1103,39.02,1015
1104,39.02,1171
1105,33.98,1137
1106,35.959999,1193
1107,24.98,1234
1108,28.940001,1249
1109,33.98,1203
1110,30.02,993
1111,17.959999,1037
1112,21.02,1172
1113,37.040001,1130
1114,19.040001,1061
1115,24.08,1223
1116,21.92,1126
1117,21.92,1004
1118,24.08,1040
1119,24.08,1037
1120,10.94,1100
1121,3.9200001,947
1122,3.02,922
1123,14,1002
1124,28.940001,1128
1125,32,1139
1126,32,1010
1127,26.059999,1123
1128,28.040001,1127
1129,30.02,1247
1130,30.02,1102
1131,26.059999,968
1132,32,1133
1133,26.959999,1124
1134,33.98,1182
1135,26.959999,1028
1136,30.02,1199
1137,33.080002,1129
1138,21.92,1041
1139,26.959999,967
1140,35.060001,1160
1141,42.98,1214
1142,44.060001,1306
1143,44.959999,1266
1144,39.919998,1100
1145,44.060001,1138
1146,44.959999,1206
1147,37.040001,1230
1148,37.939999,1225
1149,42.080002,1251
1150,44.959999,1253
1151,55.040001,1222
1152,60.98,1240
1153,62.060001,1362
1154,48.02,1307
1155,46.939999,1265
1156,44.060001,1176
1157,60.98,1355
1158,44.959999,1278
1159,44.959999,1138
1160,39.02,1212
1161,37.939999,1239
1162,48.919998,1313
1163,42.98,1246
1164,33.080002,1310
1165,46.939999,1230
1166,42.98,1084
1167,35.959999,1222
1168,33.080002,1132
1169,35.959999,1292
1170,39.919998,1238
1171,51.98,1393
1172,62.060001,1264
1173,33.080002,1106
1174,39.919998,1174
1175,60.080002,1383
1176,62.959999,1349
1177,62.060001,1436
1178,66.919998,1306
1179,60.080002,1372
1180,73.940002,1145
1181,60.98,1346
1182,57.02,1277
1183,48.02,1239
1184,50,1419
1185,55.040001,1338
1186,59,1190
1187,44.959999,1146
1188,51.98,1176
1189,71.959999,1335
1190,62.959999,1307
1191,57.02,1374
1192,57.02,1245
1193,55.040001,1299
1194,42.98,997
1195,42.080002,1088
1196,46.040001,1062
1197,68,1297
1198,75.019997,1297
1199,82.040001,1291
1200,77,1315
1201,86,1175
1202,73.040001,1327
1203,62.959999,1215
1204,64.040001,1294
1205,53.959999,1290
1206,64.040001,1395
1207,50,1256
1208,62.959999,1121
1209,60.080002,1238
1210,51.98,1209
1211,78.980003,1334
1212,78.080002,1302
1213,59,1257
1214,48.02,1272
1215,51.080002,1023
1216,53.959999,1250
1217,68,1255
1218,66.919998,1291
1219,82.940002,1349
1220,55.040001,1345
1221,84.019997,1374
1222,87.980003,1237
1223,84.019997,1363
1224,82.040001,1297
1225,84.919998,1346
1226,78.080002,1227
1227,68,1376
1228,55.040001,1309
1229,69.980003,1204
1230,80.059998,1385
1231,64.940002,1387
1232,71.059998,1351
1233,84.019997,1366
1234,77,1375
1235,77,1245
1236,80.959999,1225
1237,64.040001,1254
1238,69.980003,1385
1239,66.019997,1302
1240,78.080002,1312
1241,60.080002,1341
1242,66.019997,1261
1243,73.940002,1216
1244,66.019997,1176
1245,75.019997,1603
1246,66.019997,1376
1247,69.080002,1319
